assay	experiment_ID	orf_name_a	orf_name_b	orf_name_f1	orf_name_f2	F1_CCSB_ORF_ID	F2_CCSB_ORF_ID	source_dataset	score	result_at_0_RRS
GPCA	Sv01	YIL057C	YLR345W	YLR345W	YIL057C	4197	1225	YeRI	10.214319120800766	False
GPCA	Sv01	YKR048C	YNL078W	YKR048C	YNL078W	1227	2774	Ito-core	16.654482196995534	True
GPCA	Sv01	YKR048C	YNL078W	YKR048C	YNL078W	1227	2774	Uetz-screen	16.654482196995534	True
GPCA	Sv01	YAL020C	YKR048C	YAL020C	YKR048C	2857	1227	Lit-BM-13	10.667998535672528	False
GPCA	Sv01	YBR267W	YKR048C	YBR267W	YKR048C	4035	1227	Lit-BM-13	14.859971488828366	False
GPCA	Sv01	YBR103W	YJL122W	YBR103W	YJL122W	1228	1730	YeRI		
GPCA	Sv01	YBR103W	YIL112W	YIL112W	YBR103W	3595	1228	Uetz-screen	14.860650541105977	False
GPCA	Sv01	YBR103W	YBR282W	YBR103W	YBR282W	1228	4554	YeRI	9.698704666770345	False
GPCA	Sv01	YBR103W	YGL194C	YBR103W	YGL194C	1228	4903	GI_PSN_PCC_gt_0.5	12.013322673425447	False
GPCA	Sv01	YBR103W	YBR122C	YBR103W	YBR122C	1228	4960	YeRI	9.649256177517314	False
GPCA	Sv01	YDR322C-A	YML130C	YML130C	YDR322C-A	1256	122	YeRI	9.154818109052105	False
GPCA	Sv01	YDR322C-A	YEL027W	YEL027W	YDR322C-A	776	122	PrePPI-LR600	9.4093909361377	False
GPCA	Sv01	YPR011C	YPR052C	YPR052C	YPR011C	1231	5447	scRRS-v2	10.4093909361377	False
GPCA	Sv01	YJL104W	YOL082W	YOL082W	YJL104W	1236	1455	CCSB-YI1	9.271463027904375	False
GPCA	Sv01	YDR311W	YOL082W	YDR311W	YOL082W	2141	1236	Ito-core	12.148158772937894	False
GPCA	Sv01	YER151C	YOL082W	YOL082W	YER151C	1236	2522	Lit-BM-13	9.438791852578262	False
GPCA	Sv01	YDR207C	YOL082W	YDR207C	YOL082W	3625	1236	Uetz-screen	11.531381460516313	False
GPCA	Sv01	YHR113W	YOL082W	YHR113W	YOL082W	4185	1236	CCSB-YI1	18.49874015281089	True
GPCA	Sv01	YHR113W	YOL082W	YHR113W	YOL082W	4185	1236	Lit-BM-13	18.49874015281089	True
GPCA	Sv01	YKL103C	YOL082W	YOL082W	YKL103C	1236	4579	Uetz-screen	9.271463027904375	False
GPCA	Sv01	YOL082W	YOR353C	YOL082W	YOR353C	1236	5191	Uetz-screen	10.154818109052105	False
GPCA	Sv01	YDR419W	YPL257W	YDR419W	YPL257W	3151	1242	GI_PSN_PCC_gt_0.2	9.118941072723507	False
GPCA	Sv01	YKL088W	YMR272C	YKL088W	YMR272C	4050	1250	Tarassov	10.573647187493323	False
GPCA	Sv01	YBR198C	YDR392W	YBR198C	YDR392W	1251	2944	CYC2008	9.638435913990472	False
GPCA	Sv01	YHR005C-A	YNL241C	YNL241C	YHR005C-A	1253	4428	scRRS-v2	10.4797802640291	False
GPCA	Sv01	YGR125W	YMR024W	YMR024W	YGR125W	1254	2611	CCSB-YI1	9.734709620225837	False
GPCA	Sv01	YMR024W	YNL284C	YMR024W	YNL284C	1254	3845	CYC2008	9.813781191217037	False
GPCA	Sv01	YDL212W	YML038C	YDL212W	YML038C	1658	1255	Lit-BM-13	14.392183237312366	False
GPCA	Sv01	YDL212W	YML038C	YDL212W	YML038C	1658	1255	Tarassov	14.392183237312366	False
GPCA	Sv01	YDL183C	YML130C	YML130C	YDL183C	1256	1406	YeRI	9.768184324776927	False
GPCA	Sv01	YML130C	YMR214W	YMR214W	YML130C	3354	1256	GI_PSN_PCC_gt_0.3	9.674192268145685	False
GPCA	Sv01	YJL112W	YML130C	YJL112W	YML130C	3976	1256	YeRI	10.445014845868425	False
GPCA	Sv01	YJR080C	YML130C	YML130C	YJR080C	1256	4059	YeRI	9.172427508645484	False
GPCA	Sv01	YML130C	YPL189C-A	YPL189C-A	YML130C	5286	1256	scRRS-v2	9.744833837499547	False
GPCA	Sv01	YGR292W	YLR287C	YGR292W	YLR287C	3340	1258	GI_PSN_PCC_gt_0.2	9.845490050944376	False
GPCA	Sv01	YML019W	YMR307W	YML019W	YMR307W	1259	3078	GI_PSN_PCC_gt_0.3		
GPCA	Sv01	YHR079C	YML019W	YHR079C	YML019W	4552	1259	GI_PSN_PCC_gt_0.3	9.189824558880018	False
GPCA	Sv01	YDR284C	YPR159W	YPR159W	YDR284C	2560	125	YeRI	14.243769031961854	False
GPCA	Sv01	YLR433C	YPL065W	YLR433C	YPL065W	1260	1368	YeRI	9.082149041353873	False
GPCA	Sv01	YLR433C	YOR157C	YLR433C	YOR157C	1260	2289	YeRI	11.338179249900112	False
GPCA	Sv01	YLR433C	YOR324C	YLR433C	YOR324C	1260	2756	Lit-BM-13	10.839991070539886	False
GPCA	Sv01	YIL002C	YLR433C	YLR433C	YIL002C	1260	4299	GI_PSN_PCC_gt_0.2	9.791162888555018	False
GPCA	Sv01	YLR315W	YLR433C	YLR315W	YLR433C	5415	1260	YeRI	9.573647187493323	False
GPCA	Sv01	YER094C	YLR433C	YLR433C	YER094C	1260	5512	YeRI	11.222794902868111	False
GPCA	Sv01	YGL149W	YLR433C	YGL149W	YLR433C	5551	1260	scRRS-v2	9.710806433699352	False
GPCA	Sv01	YHR026W	YMR203W	YMR203W	YHR026W	1262	1704	PrePPI-LR600	9.878050912728536	False
GPCA	Sv01	YMR203W	YNL131W	YNL131W	YMR203W	2783	1262	scPRS-v2	10.205793249397157	False
GPCA	Sv01	YNR030W	YPL227C	YNR030W	YPL227C	1265	3402	GI_PSN_PCC_gt_0.5	15.531899226879155	False
GPCA	Sv01	YBL082C	YNR030W	YNR030W	YBL082C	1265	4775	GI_PSN_PCC_gt_0.5	20.444126188322393	True
GPCA	Sv01	YDR004W	YML032C	YDR004W	YML032C	3043	1267	GI_PSN_PCC_gt_0.3	10.127994320976393	False
GPCA	Sv01	YLR116W	YML046W	YLR116W	YML046W	2758	1268	YeRI	9.612868497291041	False
GPCA	Sv01	YGL209W	YLR246W	YGL209W	YLR246W	3368	1270	YeRI	9.4093909361377	False
GPCA	Sv01	YLR291C	YML015C	YML015C	YLR291C	1271	1901	YeRI		
GPCA	Sv01	YDR167W	YML015C	YDR167W	YML015C	3134	1271	Uetz-screen	9.779719355143405	False
GPCA	Sv01	YML002W	YMR058W	YML002W	YMR058W	1272	4504	scRRS-v2	9.438791852578262	False
GPCA	Sv01	YGR077C	YMR026C	YMR026C	YGR077C	1278	3379	GI_PSN_PCC_gt_0.3	10.733862719678543	False
GPCA	Sv01	YLR423C	YML043C	YLR423C	YML043C	3020	1279	CCSB-YI1	9.303780748177104	False
GPCA	Sv01	YOR159C	YPR182W	YOR159C	YPR182W	127	196	CCSB-YI1	22.900958360291813	True
GPCA	Sv01	YOR159C	YPR182W	YOR159C	YPR182W	127	196	Uetz-screen	22.900958360291813	True
GPCA	Sv01	YOR159C	YOR368W	YOR368W	YOR159C	2994	127	YeRI	11.184875342908283	False
GPCA	Sv01	YNL147W	YOR159C	YOR159C	YNL147W	127	3925	YeRI	11.097373768990222	False
GPCA	Sv01	YKL117W	YLR069C	YLR069C	YKL117W	1281	3776	Lit-BM-13	11.008428622070582	False
GPCA	Sv01	YEL016C	YLR130C	YLR130C	YEL016C	1282	1407	GI_PSN_PCC_gt_0.3	11.133142212400601	False
