orf_name	screened_as_AD	screened_as_DB
YDR040C	True	True
YDR041W	True	True
YDR042C	True	True
YDR043C	True	True
YDR044W	True	True
YDR045C	True	True
YDR047W	True	True
YDR048C	True	True
YDR049W	True	True
YDR050C	True	False
YDR051C	True	True
YDR052C	True	True
YDR053W	True	True
YDR054C	True	True
YDR055W	True	True
YDR056C	True	False
YDR057W	True	True
YDR059C	True	True
YDR060W	True	False
YDR062W	True	True
YDR063W	True	True
YDR064W	True	True
YDR065W	True	True
YDR066C	True	False
YDR067C	True	False
YDR068W	True	False
YDR069C	True	True
YDR070C	True	True
YDR071C	True	False
YDR072C	True	True
YDR073W	True	False
YDR074W	True	False
YDR075W	True	False
YDR076W	True	False
YDR077W	True	True
YDR078C	True	False
YDR079C-A	True	True
YDR079W	True	True
YDR080W	True	False
YDR081C	True	False
YDR082W	True	False
YDR084C	True	False
YDR085C	True	True
YDR086C	True	True
YDR088C	True	True
YDR089W	True	True
YDR090C	True	False
YDR091C	True	True
YDR092W	True	False
YDR095C	True	True
YDR097C	True	True
YDR098C	True	False
YDR099W	True	False
YDR100W	True	True
YDR101C	True	True
YDR102C	True	False
YDR103W	True	False
YDR105C	False	True
YDR106W	True	False
YDR107C	True	True
YDR108W	True	False
YDR109C	True	True
YDR110W	True	False
YDR111C	True	True
YDR112W	True	True
YDR113C	True	False
YDR114C	True	True
YDR115W	True	True
YDR116C	True	True
YDR117C	True	True
YDR120C	True	False
YDR121W	True	True
YDR122W	False	True
YDR123C	True	False
YDR124W	True	False
YDR125C	True	True
YDR126W	True	False
YDR127W	True	False
YDR128W	True	False
YDR130C	True	True
YDR131C	True	True
YDR132C	True	True
YDR133C	True	True
YDR134C	True	True
YDR136C	True	True
YDR137W	True	True
YDR138W	True	True
YDR139C	True	False
YDR140W	True	True
YDR141C	True	False
YDR142C	True	True
YDR143C	True	True
YDR144C	True	False
YDR145W	True	False
YDR146C	True	False
YDR147W	True	True
YDR148C	True	False
YDR149C	True	True
YDR150W	True	False
YDR151C	True	False
YDR152W	True	True
YDR153C	True	True
YDR154C	True	True
YDR155C	True	False
YDR156W	True	False
YDR157W	True	True
YDR158W	True	True
YDR159W	False	True
YDR160W	True	True
YDR161W	True	False
YDR162C	True	False
YDR163W	True	True
YDR164C	True	True
YDR165W	True	False
YDR166C	True	False
YDR167W	True	True
YDR168W	True	False
YDR169C	True	True
YDR170C	True	True
YDR171W	True	True
YDR172W	True	False
YDR173C	True	True
YDR174W	True	True
YDR175C	True	True
YDR176W	True	False
YDR177W	True	True
YDR178W	True	False
YDR179C	True	True
YDR179W-A	True	True
YDR181C	True	False
YDR182W	True	False
YDR183W	True	False
YDR185C	True	True
YDR186C	True	True
YDR187C	True	True
YDR188W	True	True
YDR189W	True	False
YDR191W	True	True
YDR192C	True	False
YDR193W	True	False
YDR194C	True	True
YDR195W	True	True
YDR196C	True	True
YDR197W	True	True
YDR198C	True	False
YDR199W	True	False
YDR200C	True	True
YDR201W	True	False
YDR202C	True	False
YDR204W	True	True
YDR205W	True	True
YDR206W	True	False
YDR208W	True	True
YDR209C	True	True
YDR210W	True	False
YDR211W	True	False
YDR212W	True	True
YDR214W	True	True
YDR216W	True	False
YDR218C	True	True
YDR219C	True	True
YDR220C	True	True
YDR221W	True	True
YDR222W	True	True
YDR223W	True	False
YDR224C	True	False
YDR226W	True	True
YDR228C	True	False
YDR229W	True	False
YDR230W	True	True
YDR231C	True	True
YDR232W	True	True
YDR233C	True	True
YDR234W	False	True
YDR235W	True	False
YDR237W	True	True
YDR238C	True	True
YDR239C	True	True
YDR240C	True	True
YDR241W	True	True
YDR242W	True	True
YDR243C	True	True
YDR244W	True	False
YDR245W	True	True
YDR246W	True	True
YDR247W	True	False
YDR248C	True	True
YDR249C	True	True
YDR250C	True	True
YDR251W	True	True
YDR252W	True	False
YDR253C	True	False
YDR254W	True	True
YDR255C	True	False
YDR256C	True	True
YDR257C	True	True
YDR259C	True	False
YDR260C	True	False
YDR261C	True	True
YDR262W	True	False
YDR263C	True	True
YDR264C	True	False
YDR265W	False	True
YDR266C	True	True
YDR268W	True	True
YDR269C	True	True
YDR270W	False	True
YDR271C	True	False
YDR272W	True	True
YDR273W	True	False
YDR274C	True	True
YDR275W	True	True
YDR276C	True	True
YDR277C	True	False
YDR278C	True	True
YDR279W	True	True
YDR281C	True	True
YDR282C	True	False
YDR283C	True	True
YDR284C	True	True
YDR285W	True	False
YDR286C	True	True
YDR287W	True	True
