orf_name_a	gene_name_a	orf_name_b	gene_name_b	in_I3D-exp-24	in_Lit-BM-24	in_Y2H-union-08
YDL045W-A	MRP10	YPL118W	MRP51	True	False	False
YDR347W	MRP1	YPL118W	MRP51	True	False	False
YHL004W	MRP4	YPL118W	MRP51	True	False	False
YBL090W	MRP21	YPL118W	MRP51	True	False	False
YER050C	RSM18	YPL118W	MRP51	True	False	False
YIL093C	RSM25	YPL118W	MRP51	True	True	False
YJR101W	RSM26	YPL118W	MRP51	True	False	False
YDR363W-A	SEM1	YER021W	RPN3	True	True	False
YER021W	RPN3	YFR052W	RPN12	True	True	False
YER021W	RPN3	YIL075C	RPN2	True	True	False
YDR159W	SAC3	YDR363W-A	SEM1	True	True	False
YDR159W	SAC3	YOR257W	CDC31	True	False	False
YDR159W	SAC3	YOR098C	NUP1	True	False	False
YDR363W-A	SEM1	YJR084W		True	False	True
YDR363W-A	SEM1	YPR108W	RPN7	True	True	False
YER021W	RPN3	YPR108W	RPN7	True	True	True
YGL048C	RPT6	YPR108W	RPN7	True	True	False
YDR363W-A	SEM1	YOL072W	THP1	True	True	False
YDR159W	SAC3	YOL072W	THP1	True	True	False
YOL072W	THP1	YOL072W	THP1	True	False	False
YDL097C	RPN6	YDR363W-A	SEM1	True	True	False
YDL097C	RPN6	YML092C	PRE8	True	True	False
YDL097C	RPN6	YDR394W	RPT3	True	True	False
YDL097C	RPN6	YFR004W	RPN11	True	True	False
YDL097C	RPN6	YGL048C	RPT6	True	True	False
YDL097C	RPN6	YPR108W	RPN7	True	True	False
YDL097C	RPN6	YOR261C	RPN8	True	True	False
YDL097C	RPN6	YDL147W	RPN5	True	True	False
YJR048W	CYC1	YJR048W	CYC1	True	False	False
YJR048W	CYC1	YKR066C	CCP1	True	True	False
YKR066C	CCP1	YKR066C	CCP1	True	False	False
YJR048W	CYC1	YOR065W	CYT1	True	False	False
YEL039C	CYC7	YOR065W	CYT1	True	False	False
YFR033C	QCR6	YOR065W	CYT1	True	True	False
YDR529C	QCR7	YOR065W	CYT1	True	True	False
Q0105	COB	YOR065W	CYT1	True	True	False
YOR065W	CYT1	YOR065W	CYT1	True	False	False
YEL039C	CYC7	YEL039C	CYC7	True	False	False
YFR033C	QCR6	YJL166W	QCR8	True	False	False
