orf_name	GenBank_accession	ORFeome_collection	screened_as_DB	screened_as_AD
YKL117W	DQ331882	FLEXGene	True	True
YKL116C	EF059040	FLEXGene	True	True
YKL114C		CCSB_additional	True	True
YKL113C	DQ331723	FLEXGene	True	True
YKL112W	DQ331717	FLEXGene	True	True
YKL110C		CCSB_additional	True	True
YKL109W	EF059242	FLEXGene	False	True
YKL108W	DQ332198	FLEXGene	True	True
YKL107W	DQ332732	FLEXGene	True	True
YKL106C-A	EF058501	FLEXGene	True	True
YKL106W	DQ332047	FLEXGene	True	True
YKL105C		CCSB_additional	False	False
YKL104C	EF059066	FLEXGene	True	True
YKL103C	EF059062	FLEXGene	True	True
YKL102C		CCSB_additional	True	True
YKL101W		CCSB_additional	False	True
YKL100C	EF058554	FLEXGene	True	True
YKL099C		CCSB_additional	True	True
YKL098W	DQ331067	FLEXGene	True	True
YKL097C		CCSB_additional	True	True
YKL096C-B	EF058712	FLEXGene	True	True
YKL096W-A	AY558351	FLEXGene	True	True
YKL096W	EF059200	FLEXGene	True	True
YKL095W	DQ333018	FLEXGene	True	True
YKL094W	DQ331989	FLEXGene	True	True
YKL093W	DQ332987	FLEXGene	False	True
YKL092C	EF059084	FLEXGene	True	True
YKL091C	FLH238032.01X	FLEXGene	True	True
YKL090W	EF059021	FLEXGene	False	True
YKL089W	EF059028	FLEXGene	True	True
YKL088W	EF058582	FLEXGene	True	True
YKL087C	DQ331729	FLEXGene	True	True
YKL086W	AY558350	FLEXGene	True	True
YKL085W	AY557914	FLEXGene	False	True
YKL084W	AY558265	FLEXGene	False	True
YKL082C	DQ331241	FLEXGene	True	True
YKL081W		CCSB_additional	False	True
YKL080W	DQ333165	FLEXGene	True	True
YKL079W	EF058771	FLEXGene	False	True
YKL078W	FLH238253.01X	FLEXGene	True	True
YKL077W	DQ331202	FLEXGene	False	True
YKL075C	DQ331146	FLEXGene	True	True
YKL074C	DQ332475	FLEXGene	False	True
YKL073W	EF059364	FLEXGene	True	True
YKL072W	EF059355	FLEXGene	True	True
YKL071W	AY692597	FLEXGene	True	True
YKL070W	AY558311	FLEXGene	True	True
YKL069W	DQ331106	FLEXGene	True	True
YKL068W-A	EF058694	FLEXGene	True	True
YKL068W	EF059286	FLEXGene	False	True
YKL067W	AY558263	FLEXGene	True	True
YKL065W-A		CCSB_additional	False	True
YKL065C	AY558075	FLEXGene	True	True
YKL064W	EF058413	FLEXGene	True	True
YKL063C	AY558264	FLEXGene	True	True
YKL062W		CCSB_additional	False	True
YKL061W	AY558312	FLEXGene	False	True
YKL060C	DQ332972	FLEXGene	True	True
YKL059C	DQ332975	FLEXGene	True	True
YKL058W	AY557890	FLEXGene	True	True
YKL057C		CCSB_additional	True	True
YKL056C	EF058575	FLEXGene	True	True
YKL055C	EF059002	FLEXGene	True	True
YKL054C	DQ331702	FLEXGene	True	True
YKL053C-A	AY558262	FLEXGene	True	True
YKL052C	AY692840	FLEXGene	True	True
YKL051W		CCSB_additional	True	True
YKL050C	DQ331235	FLEXGene	True	True
YKL049C	DQ332153	FLEXGene	True	True
YKL048C	EF059139	FLEXGene	True	True
YKL047W	EF058313	FLEXGene	True	True
YKL046C	AY723839	FLEXGene	True	True
YKL045W	EF059115	FLEXGene	True	True
YKL044W		CCSB_additional	True	True
YKL043W	AY557923	FLEXGene	True	True
YKL042W		CCSB_additional	False	False
YKL041W	AY557901	FLEXGene	False	True
YKL040C	AY557904	FLEXGene	True	True
YKL039W		CCSB_additional	False	True
YKL038W		CCSB_additional	False	True
YKL037W		CCSB_additional	True	True
YKL035W	EF059235	FLEXGene	False	True
YKL034W	DQ332188	FLEXGene	True	True
YKL033W-A	DQ332760	FLEXGene	True	True
YKL033W		CCSB_additional	False	True
YKL032C	DQ332019	FLEXGene	False	True
YKL029C	DQ331929	FLEXGene	True	True
YKL028W	EF058987	FLEXGene	False	True
YKL027W	AY692691	FLEXGene	False	True
YKL026C	AY557895	FLEXGene	True	True
YKL025C	EF058893	FLEXGene	False	True
