ad_orf_name	db_orf_name	in_screen_1	in_screen_2	in_screen_3	manual_score_growth
YLR433C	YPL065W	0	0	1	3
YMR017W	YLR368W	0	0	1	3
YHR008C	YNL189W	0	0	1	4
YKL164C	YNL189W	0	0	1	4
YML016C	YER116C	0	0	1	1
YLR433C	YOR157C	0	0	1	3
YMR213W	YKL095W	0	0	1	2
YNR027W	YEL029C	0	0	1	4
YLR240W	YBR170C	0	0	1	1
YMR094W	YDR328C	1	1	1	3
YGR195W	YDR280W	0	0	1	4
YJL004C	YDR202C	0	0	1	2
YMR267W	YDR142C	0	0	1	2
YNL086W	YHL004W	0	0	1	4
YDL088C	YMR153W	0	0	1	3
