orf_name	GenBank_accession	orf_space	in_db_space	in_ad_space
YKL084W	AY558265	II	0	1
YKL082C	DQ331241	II	1	1
YKL081W		III	0	1
YKL080W	DQ333165	II	1	1
YKL079W	EF058771	II	0	1
YKL078W		II	1	1
YKL077W	DQ331202	II	0	1
YKL075C	DQ331146	II	1	1
YKL074C	DQ332475	II	0	1
YKL073W	EF059364	II	1	1
YKL072W	EF059355	II	1	1
YKL071W	AY692597	II	1	1
YKL070W	AY558311	II	1	1
YKL069W	DQ331106	II	1	1
YKL068W-A	EF058694	II	1	1
YKL068W	EF059286	II	0	1
YKL067W	AY558263	II	1	1
YKL065W-A		III	0	1
YKL065C	AY558075	II	1	1
YKL064W	EF058413	II	1	1
YKL063C	AY558264	II	1	1
YKL062W		III	0	1
YKL061W	AY558312	II	0	1
YKL060C	DQ332972	II	1	1
YKL059C	DQ332975	II	1	1
YKL058W	AY557890	II	1	1
YKL057C		III	1	1
YKL056C	EF058575	II	1	1
YKL055C	EF059002	II	1	1
YKL054C	DQ331702	II	1	1
YKL053C-A	AY558262	II	1	1
YKL052C	AY692840	II	1	1
YKL051W		III	1	1
YKL050C	DQ331235	II	1	1
YKL049C	DQ332153	II	1	1
YKL048C	EF059139	II	1	1
YKL047W	EF058313	II	1	1
YKL046C	AY723839	II	1	1
YKL045W	EF059115	II	1	1
YKL044W		III	1	1
YKL043W	AY557923	II	1	1
YKL042W		III	0	0
YKL041W	AY557901	II	0	1
YKL040C	AY557904	II	1	1
YKL039W		III	0	1
YKL038W		III	0	1
YKL037W		III	1	1
YKL035W	EF059235	II	0	1
YKL034W	DQ332188	II	1	1
YKL033W-A	DQ332760	II	1	1
YKL033W		III	0	1
YKL032C	DQ332019	II	0	1
YKL029C	DQ331929	II	1	1
YKL028W	EF058987	II	0	1
YKL027W	AY692691	II	0	1
YKL026C	AY557895	II	1	1
YKL025C	EF058893	II	0	1
YKL024C	AY558074	II	1	1
YKL023C-A		III	1	1
YKL023W	EF058518	II	1	1
YKL022C	DQ331473	II	1	1
YKL021C	EF058807	II	0	1
YKL020C	DQ331464	II	0	1
YKL019W	DQ331541	II	1	1
YKL018C-A	DQ331264	II	1	1
YKL018W	AY558094	II	1	1
YKL017C	EF058836	II	1	1
YKL016C	AY558349	II	1	1
YKL015W	DQ332577	II	0	1
YKL014C	DQ331163	II	0	1
YKL013C	AY558348	II	1	1
YKL012W	EF059333	II	0	1
YKL011C	DQ332359	II	1	1
YKL010C	DQ332180	II	1	1
YKL009W	DQ332272	II	1	1
YKL008C	EF059256	II	1	1
YKL007W	AY558093	II	1	1
YKL006C-A	EF059465	II	1	1
YKL006W		III	1	1
YKL005C		III	0	1
