orf_name_X	orf_name_Y	gene_name_X	gene_name_Y	orientation	source_dataset	Y2H_v1	Y2H_v4
YMR203W	YNL131W	TOM40	TOM22	DB-X AD-Y	scPRSv2	Test failed	Negative
YMR203W	YNL131W	TOM40	TOM22	DB-Y AD-X	scPRSv2	Negative	Negative
YPL063W	YNR017W	TIM50	TIM23	DB-X AD-Y	scPRSv2	Negative	Negative
YPL063W	YNR017W	TIM50	TIM23	DB-Y AD-X	scPRSv2	Negative	Negative
YKR066C	YJR048W	CCP1	CYC1	DB-X AD-Y	scPRSv2	Test failed	Negative
YKR066C	YJR048W	CCP1	CYC1	DB-Y AD-X	scPRSv2	Negative	Negative
YBR254C	YKR068C	TRS20	BET3	DB-X AD-Y	scPRSv2	Autoactivator	Negative
YBR254C	YKR068C	TRS20	BET3	DB-Y AD-X	scPRSv2	Negative	Negative
YLR347C	YOR098C	KAP95	NUP1	DB-X AD-Y	scPRSv2	Negative	Negative
YLR347C	YOR098C	KAP95	NUP1	DB-Y AD-X	scPRSv2	Negative	Negative
YDR097C	YBR088C	MSH6	POL30	DB-X AD-Y	scPRSv2	Negative	Negative
YDR097C	YBR088C	MSH6	POL30	DB-Y AD-X	scPRSv2	Negative	Negative
YJR045C	YIL022W	SSC1	TIM44	DB-X AD-Y	scPRSv2	Negative	Negative
YJR045C	YIL022W	SSC1	TIM44	DB-Y AD-X	scPRSv2	Negative	Test failed
YOR362C	YMR314W	PRE10	PRE5	DB-X AD-Y	scPRSv2	Negative	Test failed
YOR362C	YMR314W	PRE10	PRE5	DB-Y AD-X	scPRSv2	Negative	Negative
YER112W	YJR022W	LSM4	LSM8	DB-X AD-Y	scPRSv2	Test failed	Negative
YER112W	YJR022W	LSM4	LSM8	DB-Y AD-X	scPRSv2	Test failed	Test failed
YHR184W	YOR394C-A	SSP1	YOR394C-A	DB-X AD-Y	scRRSv2	Negative	Negative
YHR184W	YOR394C-A	SSP1	YOR394C-A	DB-Y AD-X	scRRSv2	Negative	Negative
YOR044W	YKL104C	IRC23	GFA1	DB-X AD-Y	scRRSv2	Negative	Negative
YOR044W	YKL104C	IRC23	GFA1	DB-Y AD-X	scRRSv2	Negative	Negative
YCL052C	YDR020C	PBN1	DAS2	DB-X AD-Y	scRRSv2	Negative	Negative
YCL052C	YDR020C	PBN1	DAS2	DB-Y AD-X	scRRSv2	Positive	Negative
